Time,%usr,%sys,%CPU
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:21,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:22,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:23,0.00,0.00,0.00
12:04:24,6.00,3.00,9.00
12:04:24,5.00,3.00,8.00
12:04:24,5.00,3.00,8.00
12:04:24,5.00,3.00,8.00
12:04:24,6.00,2.00,8.00
12:04:24,5.00,3.00,8.00
12:04:24,6.00,2.00,8.00
12:04:24,5.00,3.00,8.00
12:04:24,6.00,3.00,9.00
12:04:24,5.00,3.00,8.00
12:04:24,5.00,3.00,8.00
12:04:24,5.00,2.00,7.00
12:04:24,7.00,4.00,11.00
12:04:24,7.00,3.00,10.00
12:04:24,5.00,4.00,9.00
12:04:24,6.00,3.00,9.00
12:04:25,52.00,24.00,76.00
12:04:25,47.00,25.00,72.00
12:04:25,52.00,23.00,75.00
12:04:25,55.00,24.00,79.00
12:04:25,55.00,28.00,83.00
12:04:25,52.00,28.00,80.00
12:04:25,46.00,27.00,73.00
12:04:25,50.00,26.00,76.00
12:04:25,45.00,25.00,70.00
12:04:25,44.00,19.00,63.00
12:04:25,48.00,25.00,73.00
12:04:25,46.00,25.00,71.00
12:04:25,52.00,26.00,78.00
12:04:25,52.00,25.00,77.00
12:04:25,49.00,25.00,74.00
12:04:25,47.00,27.00,74.00
12:04:26,52.00,24.00,76.00
12:04:26,50.00,27.00,77.00
12:04:26,53.00,25.00,78.00
12:04:26,50.00,26.00,76.00
12:04:26,55.00,26.00,81.00
12:04:26,50.00,26.00,76.00
12:04:26,53.00,25.00,78.00
12:04:26,57.00,25.00,82.00
12:04:26,48.00,25.00,73.00
12:04:26,54.00,26.00,80.00
12:04:26,54.00,26.00,80.00
12:04:26,52.00,26.00,78.00
12:04:26,49.00,25.00,74.00
12:04:26,53.00,27.00,80.00
12:04:26,49.00,26.00,75.00
12:04:26,52.00,26.00,78.00
12:04:27,53.00,24.00,77.00
12:04:27,51.00,25.00,76.00
12:04:27,53.00,26.00,79.00
12:04:27,50.00,26.00,76.00
12:04:27,54.00,26.00,80.00
12:04:27,46.00,28.00,74.00
12:04:27,49.00,27.00,76.00
12:04:27,53.00,23.00,76.00
12:04:27,52.00,24.00,76.00
12:04:27,54.00,25.00,79.00
12:04:27,56.00,23.00,79.00
12:04:27,54.00,22.00,76.00
12:04:27,49.00,25.00,74.00
12:04:27,55.00,24.00,79.00
12:04:27,53.00,23.00,76.00
12:04:27,54.00,23.00,77.00
12:04:27,0.00,0.00,0.00
12:04:28,50.00,23.00,73.00
12:04:28,55.00,24.00,79.00
12:04:28,47.00,21.00,68.00
12:04:28,54.00,23.00,77.00
12:04:28,51.00,23.00,74.00
12:04:28,53.00,24.00,77.00
12:04:28,51.00,26.00,77.00
12:04:28,51.00,22.00,73.00
12:04:28,51.00,23.00,74.00
12:04:28,53.00,24.00,77.00
12:04:28,52.00,25.00,77.00
12:04:28,50.00,25.00,75.00
12:04:28,50.00,21.00,71.00
12:04:28,54.00,24.00,78.00
12:04:28,52.00,26.00,78.00
12:04:28,53.00,26.00,79.00
12:04:29,49.00,21.00,70.00
12:04:29,43.00,20.00,63.00
12:04:29,52.00,22.00,74.00
12:04:29,51.00,21.00,72.00
12:04:29,52.00,24.00,76.00
12:04:29,55.00,22.00,77.00
12:04:29,48.00,22.00,70.00
12:04:29,50.00,24.00,74.00
12:04:29,49.00,20.00,69.00
12:04:29,54.00,24.00,78.00
12:04:29,50.00,21.00,71.00
12:04:29,56.00,23.00,79.00
12:04:29,50.00,23.00,73.00
12:04:29,54.00,20.00,74.00
12:04:29,50.00,23.00,73.00
12:04:29,56.00,23.00,79.00
12:04:30,55.00,22.00,77.00
12:04:30,50.00,22.00,72.00
12:04:30,44.00,22.00,66.00
12:04:30,56.00,21.00,77.00
12:04:30,53.00,20.00,73.00
12:04:30,51.00,21.00,72.00
12:04:30,50.00,20.00,70.00
12:04:30,50.00,20.00,70.00
12:04:30,49.00,19.00,68.00
12:04:30,46.00,18.00,64.00
12:04:30,50.00,23.00,73.00
12:04:30,54.00,25.00,79.00
12:04:30,51.00,20.00,71.00
12:04:30,51.00,22.00,73.00
12:04:30,57.00,21.00,78.00
12:04:30,56.00,21.00,77.00
12:04:31,54.00,23.00,77.00
12:04:31,54.00,19.00,73.00
12:04:31,54.00,19.00,73.00
12:04:31,55.00,20.00,75.00
12:04:31,53.00,22.00,75.00
12:04:31,42.00,17.00,59.00
12:04:31,51.00,22.00,73.00
12:04:31,52.00,21.00,73.00
12:04:31,50.00,20.00,70.00
12:04:31,48.00,19.00,67.00
12:04:31,49.00,20.00,69.00
