Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:08:26 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:08:27 AM     0   2493713         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:08:27 AM     0         -   2493713    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:08:28 AM     0   2493713         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:08:28 AM     0         -   2493713    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:08:29 AM     0   2493713         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:08:29 AM     0         -   2493713    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:08:30 AM     0   2493713         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:08:30 AM     0         -   2493713    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:08:31 AM     0   2493713         -    1.00    0.00    0.00    0.00    1.00     2  python3
12:08:31 AM     0         -   2493713    1.00    0.00    0.00    0.00    1.00     2  |__python3
12:08:32 AM     0   2493713         -   11.00    4.00    0.00    5.00   15.00    14  python3
12:08:32 AM     0         -   2493713   11.00    4.00    0.00    5.00   15.00    14  |__python3
12:08:33 AM     0   2493713         -    9.00    4.00    0.00    4.00   13.00    14  python3
12:08:33 AM     0         -   2493713    9.00    4.00    0.00    4.00   13.00    14  |__python3
12:08:34 AM     0   2493713         -    7.00    1.00    0.00    3.00    8.00    11  python3
12:08:34 AM     0         -   2493713    7.00    1.00    0.00    3.00    8.00    11  |__python3
12:08:35 AM     0   2493713         -    9.00    2.00    0.00    3.00   11.00     6  python3
12:08:35 AM     0         -   2493713    9.00    2.00    0.00    3.00   11.00     6  |__python3
12:08:36 AM     0   2493713         -    6.00    3.00    0.00    5.00    9.00     1  python3
12:08:36 AM     0         -   2493713    6.00    3.00    0.00    5.00    9.00     1  |__python3
12:08:37 AM     0   2493713         -    9.00    3.00    0.00    4.00   12.00     0  python3
12:08:37 AM     0         -   2493713    9.00    3.00    0.00    4.00   12.00     0  |__python3
12:08:38 AM     0   2493713         -    6.00    1.00    0.00    4.00    7.00    15  python3
12:08:38 AM     0         -   2493713    6.00    1.00    0.00    4.00    7.00    15  |__python3
12:08:39 AM     0   2493713         -    8.00    3.00    0.00    6.00   11.00     9  python3
12:08:39 AM     0         -   2493713    8.00    3.00    0.00    6.00   11.00     9  |__python3
12:08:40 AM     0   2493713         -   15.00    4.00    0.00    4.00   19.00    13  python3
12:08:40 AM     0         -   2493713   15.00    4.00    0.00    4.00   19.00    13  |__python3
12:08:41 AM     0   2493713         -    9.00    4.00    0.00   10.00   13.00    13  python3
12:08:41 AM     0         -   2493713    9.00    4.00    0.00   10.00   13.00    13  |__python3
12:08:42 AM     0   2493713         -    9.00    3.00    0.00    9.00   12.00     5  python3
12:08:42 AM     0         -   2493713    9.00    3.00    0.00    9.00   12.00     5  |__python3
12:08:43 AM     0   2493713         -   12.00    4.00    0.00   11.00   16.00    15  python3
12:08:43 AM     0         -   2493713   12.00    4.00    0.00   11.00   16.00    15  |__python3
12:08:44 AM     0   2493713         -   13.00    3.00    0.00   10.00   16.00     1  python3
12:08:44 AM     0         -   2493713   13.00    3.00    0.00   10.00   16.00     1  |__python3
12:08:45 AM     0   2493713         -    9.00    4.00    0.00   14.00   13.00     2  python3
12:08:45 AM     0         -   2493713    9.00    4.00    0.00   14.00   13.00     2  |__python3
12:08:46 AM     0   2493713         -    9.00    3.00    0.00   13.00   12.00    13  python3
12:08:46 AM     0         -   2493713    9.00    3.00    0.00   13.00   12.00    13  |__python3
12:08:47 AM     0   2493713         -   12.00    2.00    0.00   18.00   14.00     9  python3
12:08:47 AM     0         -   2493713   12.00    2.00    0.00   18.00   14.00     9  |__python3
12:08:48 AM     0   2493713         -   16.00    4.00    0.00   17.00   20.00     0  python3
12:08:48 AM     0         -   2493713   16.00    4.00    0.00   17.00   20.00     0  |__python3
12:08:49 AM     0   2493713         -    8.00    3.00    0.00   14.00   11.00     6  python3
12:08:49 AM     0         -   2493713    8.00    3.00    0.00   14.00   11.00     6  |__python3
12:08:50 AM     0   2493713         -   12.00    5.00    0.00   19.00   17.00     9  python3
12:08:50 AM     0         -   2493713   12.00    5.00    0.00   19.00   17.00     9  |__python3
12:08:51 AM     0   2493713         -   23.00    5.00    0.00   21.00   28.00    12  python3
12:08:51 AM     0         -   2493713   23.00    5.00    0.00   21.00   28.00    12  |__python3
12:08:52 AM     0   2493713         -   19.00    8.00    0.00   21.00   27.00    11  python3
12:08:52 AM     0         -   2493713   19.00    8.00    0.00   21.00   27.00    11  |__python3
12:08:53 AM     0   2493713         -    7.00    2.00    0.00   11.00    9.00     5  python3
12:08:53 AM     0         -   2493713    7.00    2.00    0.00   11.00    9.00     5  |__python3
12:08:54 AM     0   2493713         -    0.00    0.00    0.00    0.00    0.00     5  python3
12:08:54 AM     0         -   2493713    0.00    0.00    0.00    0.00    0.00     5  |__python3
12:08:55 AM     0   2493713         -    0.00    0.00    0.00    0.00    0.00     5  python3
12:08:55 AM     0         -   2493713    0.00    0.00    0.00    0.00    0.00     5  |__python3

Average:        0   2493713         -    8.24    2.59    0.00    7.79   10.83     -  python3
Average:        0         -   2493713    8.24    2.59    0.00    7.79   10.83     -  |__python3
