Run_Number	0.0	0.1	0.25	0.5	0.75	0.9	1.0
1	3332488	726953	604365	619517	433571	239742	11519
2	3514002	668994	670250	789091	437489	308252	11573
3	3511464	640152	644711	769319	510639	275695	12436
4	3465663	808516	814753	629899	527911	429427	12239
5	3522907	782670	646528	775595	441860	317163	17381
6	3519181	726448	793033	695166	507821	297640	12409
7	3578056	727291	682038	854427	505720	281163	43395
8	3549663	795591	865442	661015	472049	316686	13384
9	3515065	677724	758860	768030	485591	245526	10555
10	3518515	848355	683229	1075924	514622	253169	44181
