[22:58:15] port 0: ovs-system, UPCALL packets:106040 errors:39550
[22:58:15] port 1: br-int, UPCALL packets:0 errors:0
[22:58:15] port 2: ens16f1np1, UPCALL packets:124829 errors:0
[22:58:15] port 3: pod1, UPCALL packets:7 errors:0
[22:58:15] port 4: pod2, UPCALL packets:7 errors:0
[22:58:15] port 5: pod3, UPCALL packets:8 errors:0
[22:58:15] port 6: pod4, UPCALL packets:9 errors:0
[22:58:15] port 7: pod5, UPCALL packets:8 errors:0
[22:58:15] port 8: pod6, UPCALL packets:8 errors:0
[22:58:15] port 9: pod7, UPCALL packets:8 errors:0
[22:58:15] port 10: pod8, UPCALL packets:8 errors:0
[22:58:16] port 0: ovs-system, UPCALL packets:106040 errors:39550
[22:58:16] port 1: br-int, UPCALL packets:0 errors:0
[22:58:16] port 2: ens16f1np1, UPCALL packets:124829 errors:0
[22:58:16] port 3: pod1, UPCALL packets:7 errors:0
[22:58:16] port 4: pod2, UPCALL packets:7 errors:0
[22:58:16] port 5: pod3, UPCALL packets:8 errors:0
[22:58:16] port 6: pod4, UPCALL packets:9 errors:0
[22:58:16] port 7: pod5, UPCALL packets:8 errors:0
[22:58:16] port 8: pod6, UPCALL packets:8 errors:0
[22:58:16] port 9: pod7, UPCALL packets:8 errors:0
[22:58:16] port 10: pod8, UPCALL packets:8 errors:0
[22:58:17] port 0: ovs-system, UPCALL packets:106040 errors:39550
[22:58:17] port 1: br-int, UPCALL packets:0 errors:0
[22:58:17] port 2: ens16f1np1, UPCALL packets:124829 errors:0
[22:58:17] port 3: pod1, UPCALL packets:7 errors:0
[22:58:17] port 4: pod2, UPCALL packets:7 errors:0
[22:58:17] port 5: pod3, UPCALL packets:8 errors:0
[22:58:17] port 6: pod4, UPCALL packets:9 errors:0
[22:58:17] port 7: pod5, UPCALL packets:8 errors:0
[22:58:17] port 8: pod6, UPCALL packets:8 errors:0
[22:58:17] port 9: pod7, UPCALL packets:8 errors:0
[22:58:17] port 10: pod8, UPCALL packets:8 errors:0
[22:58:18] port 0: ovs-system, UPCALL packets:106040 errors:39550
[22:58:18] port 1: br-int, UPCALL packets:0 errors:0
[22:58:18] port 2: ens16f1np1, UPCALL packets:124829 errors:0
[22:58:18] port 3: pod1, UPCALL packets:7 errors:0
[22:58:18] port 4: pod2, UPCALL packets:7 errors:0
[22:58:18] port 5: pod3, UPCALL packets:8 errors:0
[22:58:18] port 6: pod4, UPCALL packets:9 errors:0
[22:58:18] port 7: pod5, UPCALL packets:8 errors:0
[22:58:18] port 8: pod6, UPCALL packets:8 errors:0
[22:58:18] port 9: pod7, UPCALL packets:8 errors:0
[22:58:18] port 10: pod8, UPCALL packets:8 errors:0
[22:58:19] port 0: ovs-system, UPCALL packets:106040 errors:39550
[22:58:19] port 1: br-int, UPCALL packets:0 errors:0
[22:58:19] port 2: ens16f1np1, UPCALL packets:124829 errors:0
[22:58:19] port 3: pod1, UPCALL packets:7 errors:0
[22:58:19] port 4: pod2, UPCALL packets:7 errors:0
[22:58:19] port 5: pod3, UPCALL packets:8 errors:0
[22:58:19] port 6: pod4, UPCALL packets:9 errors:0
[22:58:19] port 7: pod5, UPCALL packets:8 errors:0
[22:58:19] port 8: pod6, UPCALL packets:8 errors:0
[22:58:19] port 9: pod7, UPCALL packets:8 errors:0
[22:58:19] port 10: pod8, UPCALL packets:8 errors:0
[22:58:20] port 0: ovs-system, UPCALL packets:106040 errors:39550
[22:58:20] port 1: br-int, UPCALL packets:0 errors:0
[22:58:20] port 2: ens16f1np1, UPCALL packets:124829 errors:0
[22:58:20] port 3: pod1, UPCALL packets:7 errors:0
[22:58:20] port 4: pod2, UPCALL packets:7 errors:0
[22:58:20] port 5: pod3, UPCALL packets:8 errors:0
[22:58:20] port 6: pod4, UPCALL packets:9 errors:0
[22:58:20] port 7: pod5, UPCALL packets:8 errors:0
[22:58:20] port 8: pod6, UPCALL packets:8 errors:0
[22:58:20] port 9: pod7, UPCALL packets:8 errors:0
[22:58:20] port 10: pod8, UPCALL packets:8 errors:0
[22:58:21] port 0: ovs-system, UPCALL packets:106040 errors:39550
[22:58:21] port 1: br-int, UPCALL packets:0 errors:0
[22:58:21] port 2: ens16f1np1, UPCALL packets:124829 errors:0
[22:58:21] port 3: pod1, UPCALL packets:7 errors:0
[22:58:21] port 4: pod2, UPCALL packets:7 errors:0
[22:58:21] port 5: pod3, UPCALL packets:8 errors:0
[22:58:21] port 6: pod4, UPCALL packets:9 errors:0
[22:58:21] port 7: pod5, UPCALL packets:8 errors:0
[22:58:21] port 8: pod6, UPCALL packets:8 errors:0
