[22:58:15] UPCALL packets diff: 230932, errors diff: 39550
[22:58:16] UPCALL packets diff: 0, errors diff: 0
[22:58:17] UPCALL packets diff: 0, errors diff: 0
[22:58:18] UPCALL packets diff: 0, errors diff: 0
[22:58:19] UPCALL packets diff: 0, errors diff: 0
[22:58:20] UPCALL packets diff: 0, errors diff: 0
[22:58:21] UPCALL packets diff: 0, errors diff: 0
[22:58:22] UPCALL packets diff: 79491, errors diff: 0
[22:58:23] UPCALL packets diff: 94206, errors diff: 111
[22:58:24] UPCALL packets diff: 61589, errors diff: 0
[22:58:25] UPCALL packets diff: 76340, errors diff: 0
[22:58:26] UPCALL packets diff: 68092, errors diff: 0
[22:58:27] UPCALL packets diff: 62050, errors diff: 0
[22:58:28] UPCALL packets diff: 63625, errors diff: 0
[22:58:29] UPCALL packets diff: 72234, errors diff: 0
[22:58:30] UPCALL packets diff: 62339, errors diff: 0
[22:58:31] UPCALL packets diff: 55914, errors diff: 0
[22:58:32] UPCALL packets diff: 41760, errors diff: 0
[22:58:33] UPCALL packets diff: 83334, errors diff: 1274
[22:58:34] UPCALL packets diff: 53914, errors diff: 160
[22:58:35] UPCALL packets diff: 59784, errors diff: 0
[22:58:36] UPCALL packets diff: 68826, errors diff: 0
[22:58:37] UPCALL packets diff: 53700, errors diff: 0
[22:58:38] UPCALL packets diff: 61483, errors diff: 0
[22:58:39] UPCALL packets diff: 52170, errors diff: 0
[22:58:40] UPCALL packets diff: 67470, errors diff: 0
[22:58:41] UPCALL packets diff: 49323, errors diff: 0
[22:58:42] UPCALL packets diff: 58823, errors diff: 0
[22:58:43] UPCALL packets diff: 61722, errors diff: 0
[22:58:44] UPCALL packets diff: 55708, errors diff: 0
[22:58:45] UPCALL packets diff: 47098, errors diff: 0
[22:58:46] UPCALL packets diff: 64434, errors diff: 0
[22:58:47] UPCALL packets diff: 60240, errors diff: 0
[22:58:48] UPCALL packets diff: 64150, errors diff: 0
[22:58:49] UPCALL packets diff: 58673, errors diff: 0
[22:58:50] UPCALL packets diff: 56607, errors diff: 651
[22:58:51] UPCALL packets diff: 43340, errors diff: 0
[22:58:52] UPCALL packets diff: 46179, errors diff: 0
[22:58:53] UPCALL packets diff: 51212, errors diff: 0
[22:58:54] UPCALL packets diff: 49457, errors diff: 0
[22:58:55] UPCALL packets diff: 42512, errors diff: 3287
[22:58:56] UPCALL packets diff: 46452, errors diff: 0
[22:58:57] UPCALL packets diff: 58927, errors diff: 0
[22:58:58] UPCALL packets diff: 39298, errors diff: 0
[22:58:59] UPCALL packets diff: 37157, errors diff: 0
[22:59:00] UPCALL packets diff: 57075, errors diff: 0
[22:59:01] UPCALL packets diff: 42726, errors diff: 0
[22:59:02] UPCALL packets diff: 40976, errors diff: 0
[22:59:03] UPCALL packets diff: 49490, errors diff: 647
[22:59:04] UPCALL packets diff: 47792, errors diff: 0
[22:59:05] UPCALL packets diff: 42791, errors diff: 0
[22:59:06] UPCALL packets diff: 53290, errors diff: 0
[22:59:07] UPCALL packets diff: 52239, errors diff: 0
[22:59:08] UPCALL packets diff: 42977, errors diff: 0
[22:59:10] UPCALL packets diff: 42647, errors diff: 0
[22:59:11] UPCALL packets diff: 33785, errors diff: 0
[22:59:12] UPCALL packets diff: 53370, errors diff: 0
[22:59:13] UPCALL packets diff: 32394, errors diff: 0
[22:59:14] UPCALL packets diff: 44725, errors diff: 0
[22:59:15] UPCALL packets diff: 37305, errors diff: 0
[22:59:16] UPCALL packets diff: 46579, errors diff: 0
[22:59:17] UPCALL packets diff: 31159, errors diff: 0
[22:59:18] UPCALL packets diff: 52988, errors diff: 0
[22:59:19] UPCALL packets diff: 46047, errors diff: 0
[22:59:20] UPCALL packets diff: 38747, errors diff: 0
[22:59:21] UPCALL packets diff: 34247, errors diff: 0
[22:59:22] UPCALL packets diff: 39491, errors diff: 0
[22:59:23] UPCALL packets diff: 40806, errors diff: 0
[22:59:24] UPCALL packets diff: 29797, errors diff: 0
[22:59:25] UPCALL packets diff: 30032, errors diff: 0
[22:59:26] UPCALL packets diff: 38111, errors diff: 0
[22:59:27] UPCALL packets diff: 25624, errors diff: 0
[22:59:28] UPCALL packets diff: 33728, errors diff: 0
[22:59:29] UPCALL packets diff: 40935, errors diff: 0
[22:59:30] UPCALL packets diff: 30134, errors diff: 0
[22:59:31] UPCALL packets diff: 34329, errors diff: 0
[22:59:32] UPCALL packets diff: 29086, errors diff: 0
[22:59:33] UPCALL packets diff: 25864, errors diff: 0
[22:59:34] UPCALL packets diff: 29269, errors diff: 0
[22:59:35] UPCALL packets diff: 38627, errors diff: 0
[22:59:36] UPCALL packets diff: 31916, errors diff: 0
[22:59:37] UPCALL packets diff: 31606, errors diff: 0
[22:59:38] UPCALL packets diff: 33771, errors diff: 0
[22:59:39] UPCALL packets diff: 29395, errors diff: 0
[22:59:40] UPCALL packets diff: 30143, errors diff: 0
[22:59:41] UPCALL packets diff: 33306, errors diff: 0
[22:59:42] UPCALL packets diff: 29517, errors diff: 0
[22:59:43] UPCALL packets diff: 31074, errors diff: 0
[22:59:44] UPCALL packets diff: 35036, errors diff: 4627
[22:59:45] UPCALL packets diff: 28744, errors diff: 0
[22:59:46] UPCALL packets diff: 37266, errors diff: 0
[22:59:47] UPCALL packets diff: 26065, errors diff: 0
[22:59:48] UPCALL packets diff: 23426, errors diff: 0
[22:59:49] UPCALL packets diff: 25051, errors diff: 0
[22:59:50] UPCALL packets diff: 24780, errors diff: 0
[22:59:51] UPCALL packets diff: 29394, errors diff: 0
[22:59:52] UPCALL packets diff: 24706, errors diff: 0
[22:59:53] UPCALL packets diff: 21441, errors diff: 0
[22:59:54] UPCALL packets diff: 20515, errors diff: 0
[22:59:55] UPCALL packets diff: 26376, errors diff: 0
[22:59:56] UPCALL packets diff: 30820, errors diff: 0
[22:59:57] UPCALL packets diff: 25451, errors diff: 0
[22:59:58] UPCALL packets diff: 24532, errors diff: 0
[22:59:59] UPCALL packets diff: 24987, errors diff: 0
[23:00:00] UPCALL packets diff: 27720, errors diff: 0
[23:00:01] UPCALL packets diff: 27816, errors diff: 0
[23:00:02] UPCALL packets diff: 24850, errors diff: 0
[23:00:03] UPCALL packets diff: 22050, errors diff: 0
[23:00:04] UPCALL packets diff: 23628, errors diff: 0
[23:00:05] UPCALL packets diff: 25056, errors diff: 0
