Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:10:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:10:28 PM  all    0.25    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.62
03:10:28 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM    1    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:10:28 PM    2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:10:28 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM    4    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:10:28 PM    5    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:10:28 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM   13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:10:28 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:28 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:10:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:10:29 PM  all    0.06    0.00    0.00    0.00    0.06    0.00    0.00    0.00    0.00   99.87
03:10:29 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    3    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
03:10:29 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:10:29 PM   14    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:10:29 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:10:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:10:30 PM  all   12.08    0.00   12.70    0.00    0.25    5.38    0.00    0.00    0.00   69.59
03:10:30 PM    0   15.00    0.00   14.00    0.00    0.00    1.00    0.00    0.00    0.00   70.00
03:10:30 PM    1   12.87    0.00   12.87    0.00    0.99    4.95    0.00    0.00    0.00   68.32
03:10:30 PM    2   11.22    0.00   13.27    0.00    0.00    5.10    0.00    0.00    0.00   70.41
03:10:30 PM    3   12.12    0.00   12.12    0.00    0.00    6.06    0.00    0.00    0.00   69.70
03:10:30 PM    4   15.15    0.00   10.10    0.00    0.00    5.05    0.00    0.00    0.00   69.70
03:10:30 PM    5   11.00    0.00   13.00    0.00    0.00    6.00    0.00    0.00    0.00   70.00
03:10:30 PM    6   13.13    0.00   12.12    0.00    0.00    5.05    0.00    0.00    0.00   69.70
03:10:30 PM    7   10.89    0.00   10.89    0.00    0.00    9.90    0.00    0.00    0.00   68.32
03:10:30 PM    8   12.87    0.00   11.88    0.00    0.00    5.94    0.00    0.00    0.00   69.31
03:10:30 PM    9   12.00    0.00   13.00    0.00    1.00    5.00    0.00    0.00    0.00   69.00
03:10:30 PM   10   11.88    0.00   13.86    0.00    0.99    4.95    0.00    0.00    0.00   68.32
03:10:30 PM   11   12.12    0.00   12.12    0.00    0.00    5.05    0.00    0.00    0.00   70.71
03:10:30 PM   12   11.00    0.00   14.00    0.00    0.00    6.00    0.00    0.00    0.00   69.00
03:10:30 PM   13   10.89    0.00   11.88    0.00    0.99    5.94    0.00    0.00    0.00   70.30
03:10:30 PM   14   11.11    0.00   13.13    0.00    0.00    5.05    0.00    0.00    0.00   70.71
03:10:30 PM   15   10.00    0.00   15.00    0.00    0.00    5.00    0.00    0.00    0.00   70.00

03:10:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:10:31 PM  all   30.83    0.00   34.40    0.00    0.81   25.20    0.00    0.00    0.00    8.76
03:10:31 PM    0   48.48    0.00   37.37    0.00    1.01    0.00    0.00    0.00    0.00   13.13
03:10:31 PM    1   30.30    0.00   37.37    0.00    0.00   24.24    0.00    0.00    0.00    8.08
03:10:31 PM    2   34.65    0.00   35.64    0.00    0.99   23.76    0.00    0.00    0.00    4.95
03:10:31 PM    3   31.31    0.00   32.32    0.00    1.01   26.26    0.00    0.00    0.00    9.09
03:10:31 PM    4   35.64    0.00   31.68    0.00    0.99   27.72    0.00    0.00    0.00    3.96
03:10:31 PM    5   31.00    0.00   33.00    0.00    1.00   26.00    0.00    0.00    0.00    9.00
03:10:31 PM    6   33.00    0.00   35.00    0.00    1.00   26.00    0.00    0.00    0.00    5.00
03:10:31 PM    7   15.69    0.00   29.41    0.00    0.98   43.14    0.00    0.00    0.00   10.78
03:10:31 PM    8   28.28    0.00   30.30    0.00    1.01   25.25    0.00    0.00    0.00   15.15
03:10:31 PM    9   31.31    0.00   35.35    0.00    0.00   25.25    0.00    0.00    0.00    8.08
03:10:31 PM   10   29.00    0.00   35.00    0.00    1.00   26.00    0.00    0.00    0.00    9.00
03:10:31 PM   11   31.68    0.00   34.65    0.00    0.99   25.74    0.00    0.00    0.00    6.93
03:10:31 PM   12   29.00    0.00   37.00    0.00    1.00   26.00    0.00    0.00    0.00    7.00
03:10:31 PM   13   31.31    0.00   32.32    0.00    0.00   26.26    0.00    0.00    0.00   10.10
03:10:31 PM   14   24.00    0.00   37.00    0.00    1.00   25.00    0.00    0.00    0.00   13.00
03:10:31 PM   15   29.00    0.00   37.00    0.00    1.00   26.00    0.00    0.00    0.00    7.00

03:10:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:10:32 PM  all   31.30    0.00   28.54    0.00    0.50   29.73    0.00    0.00    0.00    9.93
03:10:32 PM    0   54.46    0.00   27.72    0.00    0.00    0.99    0.00    0.00    0.00   16.83
03:10:32 PM    1   34.00    0.00   26.00    0.00    1.00   30.00    0.00    0.00    0.00    9.00
03:10:32 PM    2   30.00    0.00   33.00    0.00    1.00   29.00    0.00    0.00    0.00    7.00
03:10:32 PM    3   28.28    0.00   27.27    0.00    0.00   31.31    0.00    0.00    0.00   13.13
03:10:32 PM    4   33.33    0.00   28.28    0.00    1.01   31.31    0.00    0.00    0.00    6.06
03:10:32 PM    5   29.59    0.00   28.57    0.00    0.00   30.61    0.00    0.00    0.00   11.22
03:10:32 PM    6   31.63    0.00   29.59    0.00    0.00   31.63    0.00    0.00    0.00    7.14
03:10:32 PM    7   14.85    0.00   23.76    0.00    0.99   50.50    0.00    0.00    0.00    9.90
