Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:47:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:44 PM  all    0.69    0.00    0.50    0.00    0.19    0.00    0.00    0.00    0.00   98.63
03:47:44 PM    0    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:47:44 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:44 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:44 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:44 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:44 PM    5    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:47:44 PM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:47:44 PM    7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:47:44 PM    8    0.99    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   97.03
03:47:44 PM    9    0.99    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   98.02
03:47:44 PM   10    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:47:44 PM   11    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
03:47:44 PM   12    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:47:44 PM   13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:47:44 PM   14    1.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   97.00
03:47:44 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:47:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:45 PM  all    0.56    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.93
03:47:45 PM    0    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:47:45 PM    1    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:47:45 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:45 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:45 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:45 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:45 PM    6    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:47:45 PM    7    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:47:45 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:45 PM    9    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
03:47:45 PM   10    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
03:47:45 PM   11    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
03:47:45 PM   12    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:47:45 PM   13    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:47:45 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:47:45 PM   15    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02

03:47:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:46 PM  all    1.19    0.00    5.05    0.00    0.06    3.81    0.00    0.00    0.00   89.89
03:47:46 PM    0    2.00    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00   89.00
03:47:46 PM    1    1.01    0.00    4.04    0.00    0.00    4.04    0.00    0.00    0.00   90.91
03:47:46 PM    2    1.00    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   91.00
03:47:46 PM    3    1.00    0.00    5.00    0.00    0.00    3.00    0.00    0.00    0.00   91.00
03:47:46 PM    4    1.00    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00   90.00
03:47:46 PM    5    1.00    0.00    5.00    0.00    0.00    3.00    0.00    0.00    0.00   91.00
03:47:46 PM    6    1.00    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00   90.00
03:47:46 PM    7    0.99    0.00    6.93    0.00    0.00    3.96    0.00    0.00    0.00   88.12
03:47:46 PM    8    1.00    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00   90.00
03:47:46 PM    9    0.99    0.00    3.96    0.00    0.00    3.96    0.00    0.00    0.00   91.09
03:47:46 PM   10    1.98    0.00    4.95    0.00    0.00    3.96    0.00    0.00    0.00   89.11
03:47:46 PM   11    1.00    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00   90.00
03:47:46 PM   12    0.99    0.00    4.95    0.00    0.99    3.96    0.00    0.00    0.00   89.11
03:47:46 PM   13    1.01    0.00    6.06    0.00    0.00    3.03    0.00    0.00    0.00   89.90
03:47:46 PM   14    1.98    0.00    4.95    0.00    0.00    3.96    0.00    0.00    0.00   89.11
03:47:46 PM   15    1.00    0.00    6.00    0.00    0.00    4.00    0.00    0.00    0.00   89.00

03:47:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:47 PM  all   13.72    0.00   19.28    0.00    0.44   38.93    0.06    0.00    0.00   27.57
03:47:47 PM    0   15.00    0.00   20.00    0.00    1.00   38.00    0.00    0.00    0.00   26.00
03:47:47 PM    1   12.00    0.00   18.00    0.00    0.00   43.00    0.00    0.00    0.00   27.00
03:47:47 PM    2   14.85    0.00   21.78    0.00    0.99   36.63    0.00    0.00    0.00   25.74
03:47:47 PM    3   12.24    0.00   18.37    0.00    0.00   39.80    0.00    0.00    0.00   29.59
03:47:47 PM    4   14.00    0.00   19.00    0.00    0.00   39.00    0.00    0.00    0.00   28.00
