Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:25:05 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:25:06 PM   978     24095         -    2.00    2.00    0.00    0.00    4.00     6  ovs-vswitchd
03:25:06 PM   978         -     24095    0.00    0.00    0.00    0.00    0.00     6  |__ovs-vswitchd
03:25:06 PM   978         -     24097    0.00    0.00    0.00    0.00    0.00     6  |__handler1
03:25:06 PM   978         -     24098    0.00    0.00    0.00    0.00    0.00     4  |__handler2
03:25:06 PM   978         -     24099    0.00    0.00    0.00    0.00    0.00     1  |__handler3
03:25:06 PM   978         -     24100    0.00    0.00    0.00    0.00    0.00    10  |__urcu4
03:25:06 PM   978         -     24101    0.00    0.00    0.00    0.00    0.00     4  |__handler5
03:25:06 PM   978         -     24102    0.00    0.00    0.00    0.00    0.00     5  |__handler6
03:25:06 PM   978         -     24103    0.00    0.00    0.00    0.00    0.00    10  |__handler7
03:25:06 PM   978         -     24104    0.00    0.00    0.00    0.00    0.00    10  |__handler8
03:25:06 PM   978         -     24105    0.00    0.00    0.00    0.00    0.00     3  |__handler9
03:25:06 PM   978         -     24106    0.00    0.00    0.00    0.00    0.00    15  |__handler10
03:25:06 PM   978         -     24107    0.00    0.00    0.00    0.00    0.00    10  |__handler11
03:25:06 PM   978         -     24108    0.00    0.00    0.00    0.00    0.00     1  |__handler12
03:25:06 PM   978         -     24109    0.00    0.00    0.00    0.00    0.00    13  |__handler13
03:25:06 PM   978         -     24110    0.00    0.00    0.00    0.00    0.00    13  |__handler14
03:25:06 PM   978         -     24111    0.00    0.00    0.00    0.00    0.00    14  |__handler15
03:25:06 PM   978         -     24112    0.00    0.00    0.00    0.00    0.00    15  |__handler16
03:25:06 PM   978         -     24113    0.00    0.00    0.00    0.00    0.00     2  |__handler17
03:25:06 PM   978         -     24114    0.00    1.00    0.00    0.00    1.00     9  |__revalidator18
03:25:06 PM   978         -     24115    0.00    0.00    0.00    0.00    0.00     0  |__revalidator19
03:25:06 PM   978         -     24116    0.00    0.00    0.00    0.00    0.00    10  |__revalidator20
03:25:06 PM   978         -     24117    0.00    0.00    0.00    0.00    0.00    11  |__revalidator21
03:25:06 PM   978         -     24118    1.00    0.00    0.00    0.00    1.00     8  |__revalidator22
03:25:06 PM   978         -     24119    1.00    0.00    0.00    0.00    1.00    14  |__revalidator23
03:25:06 PM   978         -     24120    0.00    0.00    0.00    0.00    0.00     7  |__revalidator24
03:25:06 PM   978         -     24121    0.00    0.00    0.00    0.00    0.00     3  |__revalidator25
03:25:06 PM   978         -     24122    0.00    0.00    0.00    0.00    0.00    13  |__revalidator26
03:25:06 PM   978         -     24123    0.00    0.00    0.00    0.00    0.00     1  |__revalidator27
03:25:07 PM   978     24095         -    2.00    1.00    0.00    0.00    3.00     6  ovs-vswitchd
03:25:07 PM   978         -     24095    0.00    0.00    0.00    0.00    0.00     6  |__ovs-vswitchd
03:25:07 PM   978         -     24097    0.00    0.00    0.00    0.00    0.00     6  |__handler1
03:25:07 PM   978         -     24098    0.00    0.00    0.00    0.00    0.00     4  |__handler2
03:25:07 PM   978         -     24099    0.00    0.00    0.00    0.00    0.00     1  |__handler3
