Time,%usr,%sys,%CPU
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:28,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:29,0.00,0.00,0.00
03:10:30,3.00,5.00,8.00
03:10:30,5.00,9.00,14.00
03:10:30,6.00,7.00,13.00
03:10:30,6.00,9.00,15.00
03:10:30,6.00,10.00,16.00
03:10:30,6.00,8.00,14.00
03:10:30,7.00,10.00,17.00
03:10:30,6.00,12.00,18.00
03:10:30,8.00,9.00,17.00
03:10:30,5.00,9.00,14.00
03:10:30,6.00,8.00,14.00
03:10:30,6.00,10.00,16.00
03:10:30,6.00,11.00,17.00
03:10:30,5.00,10.00,15.00
03:10:30,6.00,10.00,16.00
03:10:30,5.00,8.00,13.00
03:10:30,0.00,0.00,0.00
03:10:31,9.00,14.00,23.00
03:10:31,15.00,26.00,41.00
03:10:31,16.00,26.00,42.00
03:10:31,15.00,24.00,39.00
03:10:31,17.00,28.00,45.00
03:10:31,11.00,22.00,33.00
03:10:31,14.00,25.00,39.00
03:10:31,14.00,28.00,42.00
03:10:31,16.00,28.00,44.00
03:10:31,13.00,23.00,36.00
03:10:31,15.00,27.00,42.00
03:10:31,15.00,22.00,37.00
03:10:31,13.00,27.00,40.00
03:10:31,16.00,26.00,42.00
03:10:31,16.00,26.00,42.00
03:10:31,13.00,24.00,37.00
03:10:31,0.00,0.00,0.00
03:10:32,5.00,6.00,11.00
03:10:32,14.00,19.00,33.00
03:10:32,13.00,17.00,30.00
03:10:32,13.00,18.00,31.00
03:10:32,14.00,18.00,32.00
03:10:32,14.00,15.00,29.00
03:10:32,14.00,20.00,34.00
03:10:32,15.00,19.00,34.00
03:10:32,12.00,16.00,28.00
03:10:32,13.00,17.00,30.00
03:10:32,13.00,16.00,29.00
03:10:32,11.00,18.00,29.00
03:10:32,11.00,18.00,29.00
03:10:32,12.00,17.00,29.00
03:10:32,11.00,20.00,31.00
03:10:32,15.00,19.00,34.00
03:10:33,7.00,5.00,12.00
03:10:33,11.00,17.00,28.00
03:10:33,12.00,17.00,29.00
03:10:33,12.00,18.00,30.00
03:10:33,13.00,14.00,27.00
03:10:33,10.00,14.00,24.00
03:10:33,12.00,17.00,29.00
03:10:33,13.00,17.00,30.00
03:10:33,11.00,15.00,26.00
03:10:33,12.00,18.00,30.00
03:10:33,13.00,16.00,29.00
03:10:33,12.00,16.00,28.00
03:10:33,14.00,16.00,30.00
03:10:33,13.00,15.00,28.00
03:10:33,12.00,16.00,28.00
03:10:33,14.00,19.00,33.00
03:10:34,3.00,3.00,6.00
03:10:34,12.00,14.00,26.00
03:10:34,10.00,13.00,23.00
03:10:34,11.00,16.00,27.00
03:10:34,12.00,16.00,28.00
03:10:34,12.00,16.00,28.00
03:10:34,12.00,15.00,27.00
03:10:34,12.00,16.00,28.00
03:10:34,11.00,15.00,26.00
03:10:34,13.00,16.00,29.00
03:10:34,13.00,15.00,28.00
03:10:34,10.00,13.00,23.00
03:10:34,10.00,15.00,25.00
03:10:34,12.00,15.00,27.00
03:10:34,11.00,15.00,26.00
03:10:34,11.00,15.00,26.00
03:10:35,2.00,3.00,5.00
03:10:35,14.00,20.00,34.00
03:10:35,16.00,23.00,39.00
03:10:35,13.00,18.00,31.00
03:10:35,15.00,20.00,35.00
03:10:35,15.00,19.00,34.00
03:10:35,16.00,19.00,35.00
03:10:35,17.00,20.00,37.00
03:10:35,14.00,17.00,31.00
03:10:35,14.00,20.00,34.00
03:10:35,14.00,23.00,37.00
03:10:35,13.00,20.00,33.00
03:10:35,14.00,20.00,34.00
03:10:35,16.00,19.00,35.00
03:10:35,14.00,20.00,34.00
03:10:35,15.00,21.00,36.00
03:10:36,4.00,2.00,6.00
03:10:36,13.00,18.00,31.00
03:10:36,14.00,20.00,34.00
03:10:36,13.00,19.00,32.00
03:10:36,12.00,19.00,31.00
03:10:36,13.00,17.00,30.00
03:10:36,11.00,18.00,29.00
03:10:36,12.00,17.00,29.00
03:10:36,13.00,15.00,28.00
03:10:36,12.00,20.00,32.00
03:10:36,13.00,17.00,30.00
03:10:36,12.00,17.00,29.00
03:10:36,11.00,16.00,27.00
03:10:36,10.00,18.00,28.00
03:10:36,13.00,17.00,30.00
03:10:36,11.00,17.00,28.00
03:10:37,4.00,4.00,8.00
03:10:37,14.00,21.00,35.00
03:10:37,13.00,16.00,29.00
03:10:37,12.00,20.00,32.00
03:10:37,14.00,19.00,33.00
03:10:37,13.00,18.00,31.00
03:10:37,12.00,18.00,30.00
03:10:37,14.00,19.00,33.00
03:10:37,15.00,21.00,36.00
03:10:37,13.00,19.00,32.00
03:10:37,12.00,19.00,31.00
03:10:37,14.00,18.00,32.00
03:10:37,14.00,17.00,31.00
03:10:37,15.00,17.00,32.00
03:10:37,13.00,17.00,30.00
03:10:37,13.00,19.00,32.00
03:10:38,4.00,4.00,8.00
03:10:38,12.00,21.00,33.00
03:10:38,13.00,19.00,32.00
03:10:38,14.00,21.00,35.00
03:10:38,12.00,19.00,31.00
03:10:38,13.00,22.00,35.00
03:10:38,15.00,21.00,36.00
03:10:38,15.00,22.00,37.00
