Time,%usr,%sys,%CPU
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:28,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:29,0.00,0.00,0.00
03:35:30,2.00,8.00,10.00
03:35:30,2.00,7.00,9.00
03:35:30,1.00,8.00,9.00
03:35:30,3.00,7.00,10.00
03:35:30,3.00,7.00,10.00
03:35:30,0.00,2.00,2.00
03:35:30,2.00,7.00,9.00
03:35:30,3.00,7.00,10.00
03:35:30,3.00,6.00,9.00
03:35:30,2.00,6.00,8.00
03:35:30,2.00,7.00,9.00
03:35:30,2.00,7.00,9.00
03:35:30,2.00,6.00,8.00
03:35:30,1.00,4.00,5.00
03:35:30,2.00,7.00,9.00
03:35:30,2.00,7.00,9.00
03:35:31,7.00,16.00,23.00
03:35:31,10.00,16.00,26.00
03:35:31,9.00,17.00,26.00
03:35:31,9.00,18.00,27.00
03:35:31,10.00,19.00,29.00
03:35:31,3.00,5.00,8.00
03:35:31,11.00,19.00,30.00
03:35:31,10.00,16.00,26.00
03:35:31,9.00,18.00,27.00
03:35:31,11.00,22.00,33.00
03:35:31,9.00,18.00,27.00
03:35:31,10.00,21.00,31.00
03:35:31,9.00,17.00,26.00
03:35:31,7.00,15.00,22.00
03:35:31,9.00,17.00,26.00
03:35:31,9.00,19.00,28.00
03:35:32,8.00,16.00,24.00
03:35:32,7.00,18.00,25.00
03:35:32,8.00,18.00,26.00
03:35:32,8.00,15.00,23.00
03:35:32,9.00,18.00,27.00
03:35:32,3.00,5.00,8.00
03:35:32,8.00,17.00,25.00
03:35:32,8.00,16.00,24.00
03:35:32,8.00,18.00,26.00
03:35:32,7.00,16.00,23.00
03:35:32,9.00,19.00,28.00
03:35:32,9.00,15.00,24.00
03:35:32,7.00,17.00,24.00
03:35:32,8.00,15.00,23.00
03:35:32,9.00,16.00,25.00
03:35:32,6.00,14.00,20.00
03:35:33,6.00,17.00,23.00
03:35:33,8.00,20.00,28.00
03:35:33,8.00,18.00,26.00
03:35:33,6.00,17.00,23.00
03:35:33,6.00,16.00,22.00
03:35:33,2.00,6.00,8.00
03:35:33,7.00,17.00,24.00
03:35:33,7.00,18.00,25.00
03:35:33,7.00,15.00,22.00
03:35:33,7.00,16.00,23.00
03:35:33,7.00,17.00,24.00
03:35:33,8.00,16.00,24.00
03:35:33,8.00,17.00,25.00
03:35:33,7.00,17.00,24.00
03:35:33,8.00,18.00,26.00
03:35:33,8.00,20.00,28.00
03:35:34,7.00,17.00,24.00
03:35:34,6.00,15.00,21.00
03:35:34,8.00,16.00,24.00
03:35:34,9.00,15.00,24.00
