Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:16:35 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:16:36 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:16:36 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:16:37 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:16:37 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:16:38 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:16:38 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:16:39 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:16:39 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:16:40 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00    13  python3
12:16:40 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00    13  |__python3
12:16:41 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:16:41 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:16:42 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00    12  python3
12:16:42 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00    12  |__python3
12:16:43 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:16:43 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:16:44 AM     0   2505617         -    1.00    0.00    0.00    0.00    1.00     0  python3
12:16:44 AM     0         -   2505617    1.00    0.00    0.00    0.00    1.00     0  |__python3
12:16:45 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00    12  python3
12:16:45 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00    12  |__python3
12:16:46 AM     0   2505617         -    0.00    1.00    0.00    0.00    1.00    10  python3
12:16:46 AM     0         -   2505617    0.00    1.00    0.00    0.00    1.00    10  |__python3
12:16:47 AM     0   2505617         -    0.00    0.00    0.00    1.00    0.00    14  python3
12:16:47 AM     0         -   2505617    0.00    0.00    0.00    1.00    0.00    14  |__python3
12:16:48 AM     0   2505617         -   19.00   14.00    0.00   25.00   33.00     5  python3
12:16:48 AM     0         -   2505617   19.00   14.00    0.00   25.00   33.00     5  |__python3
12:16:49 AM     0   2505617         -   22.00   19.00    0.00   21.00   41.00     1  python3
12:16:49 AM     0         -   2505617   22.00   19.00    0.00   21.00   41.00     1  |__python3
12:16:50 AM     0   2505617         -   24.75   18.81    0.00   20.79   43.56    12  python3
12:16:50 AM     0         -   2505617   24.75   18.81    0.00   20.79   43.56    12  |__python3
12:16:51 AM     0   2505617         -   23.00   23.00    0.00   20.00   46.00    12  python3
12:16:51 AM     0         -   2505617   23.00   23.00    0.00   20.00   46.00    12  |__python3
12:16:52 AM     0   2505617         -   25.00   22.00    0.00   17.00   47.00    11  python3
12:16:52 AM     0         -   2505617   25.00   22.00    0.00   17.00   47.00    11  |__python3
12:16:53 AM     0   2505617         -   23.00   22.00    0.00   18.00   45.00     8  python3
12:16:53 AM     0         -   2505617   23.00   22.00    0.00   18.00   45.00     8  |__python3
12:16:54 AM     0   2505617         -   23.00   23.00    0.00   19.00   46.00     6  python3
12:16:54 AM     0         -   2505617   23.00   23.00    0.00   19.00   46.00     6  |__python3
12:16:55 AM     0   2505617         -   28.00   24.00    0.00   14.00   52.00     6  python3
12:16:55 AM     0         -   2505617   28.00   24.00    0.00   14.00   52.00     6  |__python3
12:16:56 AM     0   2505617         -   22.00   19.00    0.00   23.00   41.00    13  python3
12:16:56 AM     0         -   2505617   22.00   19.00    0.00   23.00   41.00    13  |__python3
12:16:57 AM     0   2505617         -   27.72   25.74    0.00    9.90   53.47    10  python3
12:16:57 AM     0         -   2505617   27.72   25.74    0.00    9.90   53.47    10  |__python3
12:16:58 AM     0   2505617         -   22.00   21.00    0.00   20.00   43.00     4  python3
12:16:58 AM     0         -   2505617   22.00   21.00    0.00   20.00   43.00     4  |__python3
12:16:59 AM     0   2505617         -   27.00   22.00    0.00   14.00   49.00    11  python3
12:16:59 AM     0         -   2505617   27.00   22.00    0.00   14.00   49.00    11  |__python3
12:17:00 AM     0   2505617         -   25.00   29.00    0.00   12.00   54.00     2  python3
12:17:00 AM     0         -   2505617   25.00   29.00    0.00   12.00   54.00     2  |__python3
12:17:01 AM     0   2505617         -   21.00   18.00    0.00   23.00   39.00     6  python3
12:17:01 AM     0         -   2505617   21.00   18.00    0.00   23.00   39.00     6  |__python3
12:17:02 AM     0   2505617         -    3.00    2.00    0.00    4.00    5.00    13  python3
12:17:02 AM     0         -   2505617    3.00    2.00    0.00    4.00    5.00    13  |__python3
12:17:03 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00    14  python3
12:17:03 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00    14  |__python3
12:17:04 AM     0   2505617         -    1.00    0.00    0.00    0.00    1.00    12  python3
12:17:04 AM     0         -   2505617    1.00    0.00    0.00    0.00    1.00    12  |__python3
12:17:05 AM     0   2505617         -    0.00    0.00    0.00    0.00    0.00    12  python3
12:17:05 AM     0         -   2505617    0.00    0.00    0.00    0.00    0.00    12  |__python3

Average:        0   2505617         -   11.26   10.13    0.00    8.73   21.39     -  python3
Average:        0         -   2505617   11.26   10.13    0.00    8.73   21.39     -  |__python3
