Run_Number	0.0	0.1	0.25	0.5	0.75	0.9	1.0
1	3278521	1232624	1581144	879115	775762	119479	21736
2	1187915	1271242	1508830	912456	791204	58666	4877
3	1138744	1232129	1422203	840603	601740	67403	10047
4	1256728	1421706	1417059	1013642	615277	59836	7736
5	1135645	1375372	1407510	994656	686510	69802	58239
6	1208308	1229453	1483931	867611	802130	54850	55713
7	1145624	1172317	1361426	1028393	702934	59044	7422
8	1112429	1167104	1513797	948289	686506	55096	9053
9	1147296	1161590	1472215	944879	807219	48339	8624
10	1106271	1156725	1456493	1070236	693817	49010	11600
