[00:35:14] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:14] port 1: br-int, UPCALL packets:0 errors:0
[00:35:14] port 2: ens16f1np1, UPCALL packets:585262 errors:0
[00:35:14] port 3: pod1, UPCALL packets:77 errors:0
[00:35:14] port 4: pod2, UPCALL packets:111 errors:0
[00:35:14] port 5: pod3, UPCALL packets:113 errors:0
[00:35:14] port 6: pod4, UPCALL packets:46 errors:0
[00:35:14] port 7: pod5, UPCALL packets:43 errors:0
[00:35:14] port 8: pod6, UPCALL packets:73 errors:0
[00:35:14] port 9: pod7, UPCALL packets:91 errors:0
[00:35:14] port 10: pod8, UPCALL packets:129 errors:0
[00:35:15] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:15] port 1: br-int, UPCALL packets:0 errors:0
[00:35:15] port 2: ens16f1np1, UPCALL packets:585262 errors:0
[00:35:15] port 3: pod1, UPCALL packets:77 errors:0
[00:35:15] port 4: pod2, UPCALL packets:111 errors:0
[00:35:15] port 5: pod3, UPCALL packets:113 errors:0
[00:35:15] port 6: pod4, UPCALL packets:46 errors:0
[00:35:15] port 7: pod5, UPCALL packets:43 errors:0
[00:35:15] port 8: pod6, UPCALL packets:73 errors:0
[00:35:15] port 9: pod7, UPCALL packets:91 errors:0
[00:35:15] port 10: pod8, UPCALL packets:129 errors:0
[00:35:16] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:16] port 1: br-int, UPCALL packets:0 errors:0
[00:35:16] port 2: ens16f1np1, UPCALL packets:585262 errors:0
[00:35:16] port 3: pod1, UPCALL packets:77 errors:0
[00:35:16] port 4: pod2, UPCALL packets:111 errors:0
[00:35:16] port 5: pod3, UPCALL packets:113 errors:0
[00:35:16] port 6: pod4, UPCALL packets:46 errors:0
[00:35:16] port 7: pod5, UPCALL packets:43 errors:0
[00:35:16] port 8: pod6, UPCALL packets:73 errors:0
[00:35:16] port 9: pod7, UPCALL packets:91 errors:0
[00:35:16] port 10: pod8, UPCALL packets:129 errors:0
[00:35:17] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:17] port 1: br-int, UPCALL packets:0 errors:0
[00:35:17] port 2: ens16f1np1, UPCALL packets:585262 errors:0
[00:35:17] port 3: pod1, UPCALL packets:77 errors:0
[00:35:17] port 4: pod2, UPCALL packets:111 errors:0
[00:35:17] port 5: pod3, UPCALL packets:113 errors:0
[00:35:17] port 6: pod4, UPCALL packets:46 errors:0
[00:35:17] port 7: pod5, UPCALL packets:43 errors:0
[00:35:17] port 8: pod6, UPCALL packets:73 errors:0
[00:35:17] port 9: pod7, UPCALL packets:91 errors:0
[00:35:17] port 10: pod8, UPCALL packets:129 errors:0
[00:35:18] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:18] port 1: br-int, UPCALL packets:0 errors:0
[00:35:18] port 2: ens16f1np1, UPCALL packets:585262 errors:0
[00:35:18] port 3: pod1, UPCALL packets:77 errors:0
[00:35:18] port 4: pod2, UPCALL packets:111 errors:0
[00:35:18] port 5: pod3, UPCALL packets:113 errors:0
[00:35:18] port 6: pod4, UPCALL packets:46 errors:0
[00:35:18] port 7: pod5, UPCALL packets:43 errors:0
[00:35:18] port 8: pod6, UPCALL packets:73 errors:0
[00:35:18] port 9: pod7, UPCALL packets:91 errors:0
[00:35:18] port 10: pod8, UPCALL packets:129 errors:0
[00:35:19] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:19] port 1: br-int, UPCALL packets:0 errors:0
[00:35:19] port 2: ens16f1np1, UPCALL packets:630736 errors:0
[00:35:19] port 3: pod1, UPCALL packets:81 errors:0
[00:35:19] port 4: pod2, UPCALL packets:134 errors:0
[00:35:19] port 5: pod3, UPCALL packets:113 errors:0
[00:35:19] port 6: pod4, UPCALL packets:46 errors:0
[00:35:19] port 7: pod5, UPCALL packets:51 errors:0
[00:35:19] port 8: pod6, UPCALL packets:73 errors:0
[00:35:19] port 9: pod7, UPCALL packets:91 errors:0
[00:35:19] port 10: pod8, UPCALL packets:131 errors:0
[00:35:20] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:20] port 1: br-int, UPCALL packets:0 errors:0
[00:35:20] port 2: ens16f1np1, UPCALL packets:707494 errors:0
[00:35:20] port 3: pod1, UPCALL packets:87 errors:0
[00:35:20] port 4: pod2, UPCALL packets:134 errors:0
[00:35:20] port 5: pod3, UPCALL packets:115 errors:0
[00:35:20] port 6: pod4, UPCALL packets:51 errors:0
[00:35:20] port 7: pod5, UPCALL packets:53 errors:0
[00:35:20] port 8: pod6, UPCALL packets:77 errors:0
[00:35:20] port 9: pod7, UPCALL packets:91 errors:0
[00:35:20] port 10: pod8, UPCALL packets:137 errors:0
[00:35:21] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:21] port 1: br-int, UPCALL packets:0 errors:0
[00:35:21] port 2: ens16f1np1, UPCALL packets:746082 errors:0
[00:35:21] port 3: pod1, UPCALL packets:87 errors:0
[00:35:21] port 4: pod2, UPCALL packets:134 errors:0
[00:35:21] port 5: pod3, UPCALL packets:115 errors:0
[00:35:21] port 6: pod4, UPCALL packets:51 errors:0
[00:35:21] port 7: pod5, UPCALL packets:53 errors:0
[00:35:21] port 8: pod6, UPCALL packets:77 errors:0
[00:35:21] port 9: pod7, UPCALL packets:97 errors:0
[00:35:21] port 10: pod8, UPCALL packets:137 errors:0
[00:35:22] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:22] port 1: br-int, UPCALL packets:0 errors:0
[00:35:22] port 2: ens16f1np1, UPCALL packets:746082 errors:0
[00:35:22] port 3: pod1, UPCALL packets:87 errors:0
[00:35:22] port 4: pod2, UPCALL packets:134 errors:0
[00:35:22] port 5: pod3, UPCALL packets:115 errors:0
[00:35:22] port 6: pod4, UPCALL packets:51 errors:0
[00:35:22] port 7: pod5, UPCALL packets:53 errors:0
[00:35:22] port 8: pod6, UPCALL packets:77 errors:0
[00:35:22] port 9: pod7, UPCALL packets:97 errors:0
[00:35:22] port 10: pod8, UPCALL packets:137 errors:0
[00:35:23] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:23] port 1: br-int, UPCALL packets:0 errors:0
[00:35:23] port 2: ens16f1np1, UPCALL packets:746082 errors:0
[00:35:23] port 3: pod1, UPCALL packets:87 errors:0
[00:35:23] port 4: pod2, UPCALL packets:134 errors:0
[00:35:23] port 5: pod3, UPCALL packets:115 errors:0
[00:35:23] port 6: pod4, UPCALL packets:51 errors:0
[00:35:23] port 7: pod5, UPCALL packets:53 errors:0
[00:35:23] port 8: pod6, UPCALL packets:77 errors:0
[00:35:23] port 9: pod7, UPCALL packets:97 errors:0
[00:35:23] port 10: pod8, UPCALL packets:137 errors:0
[00:35:24] port 0: ovs-system, UPCALL packets:108813 errors:39550
[00:35:24] port 1: br-int, UPCALL packets:0 errors:0
